Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Debtor,Scholarship_holder,Admission_grade,Age_at_enrollment,Gender,Status
0,0.0,0,0.0,1,0,0,127.3,20,1,Dropout
6,14.0,6,13.666666666666666,0,0,0,142.5,19,1,Graduate
0,0.0,0,0.0,0,0,0,124.8,19,1,Dropout
6,13.428571428571429,5,12.4,1,0,0,119.6,20,0,Graduate
5,12.333333333333334,6,13.0,1,0,0,141.5,45,0,Graduate
5,11.857142857142858,5,11.5,1,1,0,114.8,50,1,Graduate
7,13.3,8,14.345,1,0,1,128.4,18,0,Graduate
0,0.0,0,0.0,0,0,0,113.1,22,1,Dropout
6,13.875,6,14.142857142857142,1,0,1,129.3,21,0,Graduate
5,11.4,2,13.5,0,1,0,123.0,18,0,Dropout
6,12.333333333333334,5,14.2,1,0,0,130.6,18,0,Graduate
7,13.214285714285714,7,13.214285714285714,1,0,1,119.3,18,0,Graduate
0,0.0,0,0.0,1,0,0,130.2,19,0,Dropout
6,10.571428571428571,5,11.0,1,0,1,111.8,21,0,Graduate
4,13.25,5,12.0,1,0,1,137.1,18,0,Graduate
5,13.2,0,0.0,1,0,0,120.7,20,0,Dropout
1,12.0,2,11.0,1,0,0,137.4,18,0,Enrolled
7,13.30625,8,14.545,1,0,0,127.3,18,0,Graduate
4,12.5,4,12.25,1,0,0,136.3,20,0,Graduate
6,11.666666666666666,6,13.5,1,0,0,124.6,18,0,Enrolled
0,0.0,0,0.0,1,0,1,120.3,21,0,Graduate
7,11.4375,8,11.425,1,0,0,121.8,20,0,Enrolled
7,12.857142857142858,7,12.857142857142858,1,0,0,125.5,18,0,Graduate
6,13.375,6,12.285714285714286,1,0,1,114.9,19,0,Graduate
6,13.296666666666669,7,14.114285714285714,1,0,0,123.9,19,0,Graduate
5,11.6,4,11.0,1,1,1,157.0,18,0,Enrolled
6,11.375,6,13.285714285714286,1,0,0,116.4,21,0,Graduate
5,12.666666666666666,4,13.0,1,0,0,131.0,18,0,Enrolled
5,12.0,5,12.333333333333334,1,0,0,122.1,20,0,Graduate
6,12.933333333333332,6,13.716666666666669,1,0,0,118.8,19,1,Enrolled
5,11.857142857142858,5,10.571428571428571,1,0,0,150.0,21,1,Enrolled
6,12.833333333333334,4,13.4,1,0,0,130.0,20,1,Graduate
3,11.333333333333334,2,13.5,0,0,0,138.8,18,1,Enrolled
6,12.666666666666666,6,14.375,1,0,0,134.5,19,0,Graduate
5,12.4,5,13.428571428571429,1,0,0,131.4,34,1,Graduate
0,0.0,1,10.0,0,1,0,102.5,37,1,Dropout
0,0.0,0,0.0,1,0,0,128.8,43,1,Dropout
1,10.0,2,12.0,1,0,0,122.9,55,0,Dropout
5,11.0,5,11.6,1,0,0,113.9,39,0,Graduate
3,11.666666666666666,3,12.0,0,1,0,120.0,20,0,Dropout
4,12.75,0,0.0,1,1,0,121.1,18,0,Dropout
5,14.8,5,15.8,1,0,0,120.4,22,0,Graduate
5,13.928,7,14.342857142857142,1,0,0,100.6,22,0,Graduate
4,13.0,5,13.8,0,0,0,121.4,20,0,Dropout
0,0.0,0,0.0,1,0,0,109.7,29,0,Dropout
2,11.5,3,14.333333333333334,1,0,0,134.1,24,0,Enrolled
6,11.666666666666666,5,13.2,1,0,0,127.6,18,0,Graduate
6,13.516666666666666,7,13.771428571428572,1,0,1,132.4,22,0,Graduate
6,11.5,6,13.285714285714286,1,0,1,133.4,21,0,Graduate
5,12.333333333333334,6,12.833333333333334,1,0,1,126.1,19,0,Graduate
6,13.666666666666666,6,14.166666666666666,1,0,1,113.5,24,0,Graduate
6,11.833333333333334,6,11.833333333333334,1,0,1,121.3,19,0,Enrolled
4,14.0,3,11.0,1,0,1,121.8,20,0,Enrolled
5,14.714285714285714,5,15.8,1,0,0,159.3,19,0,Graduate
5,10.6,5,11.0,1,0,0,120.0,27,0,Dropout
7,13.044444444444444,8,13.595,1,0,0,129.1,18,0,Graduate
0,0.0,0,0.0,1,0,0,130.0,39,0,Dropout
5,13.0,10,12.9,1,0,0,155.3,27,0,Dropout
8,14.935,8,14.935,1,0,0,139.8,18,0,Graduate
0,0.0,0,0.0,1,0,0,115.2,18,0,Enrolled
6,13.133333333333333,7,12.221428571428572,1,0,0,114.9,18,0,Graduate
6,12.0,6,12.0,1,0,1,131.9,21,0,Graduate
0,0.0,0,0.0,1,0,1,126.0,19,1,Enrolled
5,11.4,1,10.0,1,0,0,130.2,19,1,Enrolled
0,0.0,0,0.0,1,0,0,120.9,24,1,Enrolled
5,11.9,5,11.0,1,0,0,126.0,29,1,Dropout
0,0.0,0,0.0,1,0,1,128.2,19,1,Graduate
6,12.571428571428571,6,12.428571428571429,1,0,0,130.0,23,1,Graduate
5,11.2,4,10.75,1,1,0,120.1,19,1,Dropout
6,12.0,5,10.8,1,0,0,100.0,26,1,Enrolled
0,0.0,0,0.0,1,0,0,134.0,18,1,Enrolled
7,11.975,8,13.75,1,0,0,130.8,24,1,Graduate
0,0.0,0,0.0,1,0,0,135.8,19,1,Dropout
3,11.666666666666666,1,12.0,1,0,0,111.7,18,1,Dropout
6,12.333333333333334,3,12.333333333333334,1,0,0,132.9,18,1,Graduate
3,10.333333333333334,3,10.857142857142858,1,1,0,115.5,18,1,Dropout
4,10.5,1,11.0,1,0,1,106.0,21,1,Dropout
6,13.666666666666666,6,13.333333333333334,1,1,1,120.3,19,1,Graduate
7,14.842857142857142,8,15.055555555555555,1,0,1,130.8,22,1,Graduate
6,12.0,6,11.666666666666666,1,0,0,117.0,33,1,Graduate
5,12.2,5,12.2,1,0,0,110.2,20,1,Dropout
0,0.0,0,0.0,1,0,0,155.7,35,1,Dropout
6,12.166666666666666,10,13.3,1,1,0,180.4,24,1,Dropout
5,12.0,3,11.333333333333334,1,0,0,125.5,18,1,Enrolled
6,11.0,5,11.0,1,0,0,110.0,33,0,Graduate
7,13.08,7,13.08,1,0,1,161.0,22,0,Graduate
4,10.5,5,11.6,1,0,1,100.0,25,0,Graduate
6,10.666666666666666,5,11.2,1,0,0,117.6,20,1,Graduate
4,14.0,5,13.8,1,0,0,128.7,23,1,Enrolled
2,10.0,0,0.0,1,1,0,112.2,18,1,Enrolled
0,0.0,0,0.0,1,0,0,100.8,24,1,Dropout
6,14.0,6,13.5,0,0,0,105.0,21,0,Graduate
2,12.0,0,0.0,1,0,0,100.0,26,0,Dropout
3,12.666666666666666,0,0.0,1,0,0,115.5,39,0,Dropout
8,11.875,6,12.333333333333334,1,0,0,114.0,44,0,Graduate
5,14.0,3,13.25,1,0,0,137.0,19,1,Enrolled
6,13.666666666666666,6,13.333333333333334,1,0,0,124.9,18,0,Graduate
7,13.75,8,14.47777777777778,1,0,1,120.3,18,0,Graduate
5,14.2,5,13.8,1,0,0,134.3,19,0,Enrolled
4,11.96,0,0.0,0,1,0,111.5,19,0,Dropout
8,12.875,5,13.4,1,0,0,128.8,21,0,Dropout
0,0.0,0,0.0,1,0,0,110.0,20,0,Graduate
0,0.0,0,0.0,1,0,0,113.5,36,0,Dropout
18,14.63157894736842,13,14.23076923076923,1,0,0,160.0,43,0,Graduate
0,0.0,0,0.0,1,0,0,117.4,19,0,Dropout
10,13.0,11,12.272727272727272,1,1,0,122.2,20,0,Graduate
0,0.0,0,0.0,1,0,0,118.2,19,0,Dropout
4,14.2,4,13.25,1,0,0,106.7,20,0,Dropout
6,13.266666666666666,5,12.3,1,0,0,108.2,20,0,Dropout
6,11.666666666666666,3,13.0,1,0,0,107.0,20,0,Enrolled
6,13.857142857142858,6,15.0,1,0,0,136.1,18,0,Graduate
3,13.0,3,11.0,1,0,1,115.3,18,0,Enrolled
5,13.4,5,12.8,1,0,0,139.8,19,0,Graduate
6,12.666666666666666,6,12.571428571428571,1,0,0,157.0,18,0,Graduate
6,12.516666666666666,6,12.516666666666666,1,0,0,131.0,18,0,Dropout
6,11.616666666666667,7,13.0,1,0,0,100.0,20,0,Enrolled
2,10.0,4,10.75,1,0,1,140.4,20,0,Enrolled
3,10.333333333333334,3,10.666666666666666,1,0,0,113.4,20,0,Enrolled
5,13.142857142857142,5,11.4,1,0,0,137.0,18,0,Graduate
5,12.6,5,14.0,1,0,0,121.8,18,0,Graduate
3,11.0,2,11.0,1,0,0,131.0,21,0,Dropout
5,10.8,4,11.25,1,0,0,118.6,19,0,Graduate
0,0.0,0,0.0,1,0,0,122.3,19,0,Dropout
5,12.8,5,14.2,1,0,1,127.9,19,0,Graduate
6,14.166666666666666,6,12.2,1,0,0,121.3,19,0,Graduate
5,12.1,0,0.0,1,0,0,117.1,19,0,Dropout
6,14.166666666666666,5,13.77777777777778,1,0,0,160.0,20,0,Graduate
5,12.8,5,13.4,1,0,1,145.3,18,0,Enrolled
6,13.0,6,13.666666666666666,1,0,0,122.6,18,0,Graduate
7,13.467142857142855,8,15.011111111111113,1,0,0,128.0,19,0,Graduate
7,13.2375,7,13.742857142857144,1,0,1,124.9,18,0,Dropout
6,12.333333333333334,6,13.0,1,0,0,123.7,18,0,Graduate
5,12.4,5,14.6,1,0,0,120.1,19,0,Graduate
5,14.0,0,0.0,1,0,0,131.7,19,0,Dropout
9,11.666666666666666,7,11.714285714285714,1,0,0,133.2,20,0,Graduate
5,12.0,4,12.5,0,1,1,109.3,19,0,Dropout
4,12.2,4,11.5,1,0,0,113.0,20,0,Graduate
6,14.833333333333334,6,14.833333333333334,1,1,1,157.9,18,0,Graduate
5,13.188,7,12.892857142857142,1,0,1,112.1,20,0,Enrolled
7,17.125,8,17.5875,1,0,0,174.7,18,0,Graduate
6,12.666666666666666,6,12.666666666666666,1,0,0,128.8,19,0,Graduate
6,12.666666666666666,5,12.0,1,0,1,110.1,19,0,Graduate
0,0.0,0,0.0,0,1,0,99.7,22,0,Enrolled
6,11.333333333333334,6,11.5,1,0,1,121.0,19,0,Graduate
7,13.605,8,12.33125,1,0,1,131.7,19,0,Graduate
5,12.0,5,10.8,1,0,1,119.1,19,0,Graduate
0,0.0,0,0.0,1,0,0,124.7,19,0,Dropout
5,11.2,3,11.666666666666666,1,0,0,117.2,20,0,Dropout
5,13.375,5,14.166666666666666,1,0,0,128.8,18,0,Graduate
6,13.863333333333337,7,14.178571428571429,1,0,1,131.5,20,0,Graduate
0,0.0,0,0.0,1,0,0,121.7,18,0,Enrolled
5,12.4,5,13.4,1,0,0,123.4,19,0,Graduate
3,12.333333333333334,5,10.833333333333334,1,0,0,124.7,18,0,Enrolled
6,13.333333333333334,5,11.8,1,0,0,132.8,18,0,Graduate
3,12.666666666666666,3,10.0,1,0,0,108.7,21,0,Dropout
6,12.0,4,11.5,1,0,0,138.1,19,0,Dropout
5,10.6,5,11.8,1,0,1,126.5,18,0,Graduate
6,12.25,6,11.857142857142858,1,0,1,127.4,18,0,Graduate
4,11.0,6,11.833333333333334,1,0,0,123.6,20,0,Graduate
5,11.0,5,12.6,1,0,1,122.0,24,0,Graduate
6,13.166666666666666,6,13.0,1,0,0,118.2,19,0,Dropout
7,12.855555555555554,7,12.761111111111113,1,0,1,123.9,18,0,Graduate
7,14.91875,8,15.355,1,0,0,125.8,18,0,Graduate
4,11.5,3,11.0,1,0,0,123.3,21,0,Dropout
5,14.2,5,14.2,1,0,0,124.4,19,0,Graduate
6,12.5,6,13.0,1,0,1,126.0,19,0,Graduate
0,0.0,0,0.0,1,1,0,170.0,47,0,Enrolled
5,11.666666666666666,4,11.0,1,0,0,121.5,19,0,Graduate
7,14.257142857142856,7,14.257142857142856,1,0,0,130.0,29,0,Graduate
3,12.0,2,11.333333333333334,1,0,0,117.0,21,0,Dropout
4,11.25,4,10.5,1,0,0,130.0,28,0,Enrolled
7,12.457142857142856,8,13.5625,1,0,0,108.0,20,0,Graduate
6,11.683333333333332,6,11.683333333333332,1,0,0,132.3,19,0,Graduate
3,11.666666666666666,5,12.0,1,0,0,148.0,26,0,Graduate
4,11.75,6,13.166666666666666,0,1,0,122.6,20,0,Dropout
3,11.666666666666666,4,13.5,1,0,1,123.0,18,0,Enrolled
5,13.2,5,12.0,1,0,0,102.5,27,0,Graduate
4,11.95,4,11.95,1,0,0,113.3,20,0,Dropout
5,12.4,5,10.4,1,0,0,133.0,18,0,Dropout
6,14.35,6,14.583333333333334,1,0,0,140.0,33,0,Dropout
